egg_id,clutch_id,pair_id,species_scientific,species_common,lay_date,season,incubation_method,initial_weight_g,fertility_status,embryo_loss_stage,hatch_status,hatch_date,hatch_assistance,chick_id,chick_status_day7,data_quality_flag,source_record_type,verified_status
EGG-0049,CL-02-003,PAIR-02-01,Cacatua moluccensis,Moluccan Cockatoo,2024-05-30,hot-humid,artificial,37.4,fertile,none,hatched,2024-06-27,none,CHK-02-0049,alive,ok,incubator_log,single_checked
EGG-0050,CL-02-003,PAIR-02-01,Cacatua moluccensis,Moluccan Cockatoo,2024-06-02,hot-humid,artificial,35.7,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,register,double_checked
EGG-0051,CL-02-003,PAIR-02-02,Cacatua moluccensis,Moluccan Cockatoo,2024-06-03,hot-humid,artificial,35.7,fertile,none,hatched,2024-07-01,none,CHK-02-0051,alive,ok,combined,single_checked
EGG-0052,CL-02-003,PAIR-02-02,Cacatua moluccensis,Moluccan Cockatoo,2024-06-08,hot-humid,artificial,33.1,fertile,middle,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,double_checked
EGG-0053,CL-02-004,PAIR-02-02,Cacatua moluccensis,Moluccan Cockatoo,2024-06-10,hot-humid,parental,32.5,fertile,none,hatched,2024-07-04,none,CHK-02-0053,alive,ok,spreadsheet,double_checked
EGG-0054,CL-02-004,PAIR-02-02,Cacatua moluccensis,Moluccan Cockatoo,2024-06-13,hot-humid,mixed,35.7,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0055,CL-02-004,PAIR-02-02,Cacatua moluccensis,Moluccan Cockatoo,2024-06-16,hot-humid,artificial,37.7,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0056,CL-02-004,PAIR-02-02,Cacatua moluccensis,Moluccan Cockatoo,2024-06-20,hot-humid,parental,32.3,fertile,none,hatched,2024-07-15,partial,CHK-02-0056,alive,ok,combined,single_checked
EGG-0057,CL-02-005,PAIR-02-02,Cacatua moluccensis,Moluccan Cockatoo,2024-06-21,hot-humid,artificial,36.4,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,single_checked
EGG-0058,CL-02-005,PAIR-02-02,Cacatua moluccensis,Moluccan Cockatoo,2024-06-26,hot-humid,mixed,36.0,fertile,none,hatched,2024-07-23,none,CHK-02-0058,alive,ok,combined,double_checked
EGG-0059,CL-02-005,PAIR-02-02,Cacatua moluccensis,Moluccan Cockatoo,2024-06-29,hot-humid,artificial,36.3,fertile,none,hatched,2024-07-23,partial,CHK-02-0059,alive,ok,combined,single_checked
EGG-0060,CL-02-005,PAIR-02-02,Cacatua moluccensis,Moluccan Cockatoo,2024-06-30,hot-humid,parental,33.9,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0061,CL-02-006,PAIR-02-03,Cacatua moluccensis,Moluccan Cockatoo,2024-07-03,hot-humid,artificial,33.7,fertile,none,hatched,2024-07-27,none,CHK-02-0061,alive,ok,combined,single_checked
EGG-0062,CL-02-006,PAIR-02-03,Cacatua moluccensis,Moluccan Cockatoo,2024-07-07,hot-humid,parental,33.2,fertile,none,hatched,2024-08-03,partial,CHK-02-0062,alive,ok,register,double_checked
EGG-0063,CL-02-006,PAIR-02-03,Cacatua moluccensis,Moluccan Cockatoo,2024-07-09,hot-humid,artificial,34.0,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0064,CL-02-006,PAIR-02-03,Cacatua moluccensis,Moluccan Cockatoo,2024-07-13,hot-humid,parental,36.1,fertile,none,hatched,2024-08-08,none,CHK-02-0064,alive,ok,register,double_checked
EGG-0065,CL-02-007,PAIR-02-03,Cacatua moluccensis,Moluccan Cockatoo,2024-07-16,hot-humid,mixed,37.8,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0066,CL-02-007,PAIR-02-03,Cacatua moluccensis,Moluccan Cockatoo,2024-07-18,hot-humid,parental,31.0,fertile,none,hatched,2024-08-14,none,CHK-02-0066,alive,ok,combined,double_checked
EGG-0067,CL-02-007,PAIR-02-03,Cacatua moluccensis,Moluccan Cockatoo,2024-07-21,hot-humid,mixed,38.1,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0068,CL-02-007,PAIR-02-03,Cacatua moluccensis,Moluccan Cockatoo,2024-07-24,hot-humid,artificial,31.9,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,single_checked
EGG-0069,CL-02-008,PAIR-02-03,Cacatua moluccensis,Moluccan Cockatoo,2024-07-29,hot-humid,artificial,39.3,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0070,CL-02-008,PAIR-02-03,Cacatua moluccensis,Moluccan Cockatoo,2024-07-30,hot-humid,mixed,33.7,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0071,CL-02-008,PAIR-02-04,Cacatua moluccensis,Moluccan Cockatoo,2024-08-03,hot-humid,mixed,36.1,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0072,CL-02-008,PAIR-02-04,Cacatua moluccensis,Moluccan Cockatoo,2024-08-07,hot-humid,artificial,37.2,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0073,CL-02-009,PAIR-02-04,Cacatua moluccensis,Moluccan Cockatoo,2024-08-09,hot-humid,parental,36.9,fertile,none,hatched,2024-09-03,none,CHK-02-0073,alive,ok,register,single_checked
EGG-0074,CL-02-009,PAIR-02-04,Cacatua moluccensis,Moluccan Cockatoo,2024-08-12,hot-humid,parental,37.5,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0075,CL-02-009,PAIR-02-04,Cacatua moluccensis,Moluccan Cockatoo,2024-08-15,hot-humid,artificial,33.5,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0076,CL-02-009,PAIR-02-04,Cacatua moluccensis,Moluccan Cockatoo,2024-08-19,hot-humid,parental,34.8,fertile,none,hatched,2024-09-12,none,CHK-02-0076,alive,ok,combined,single_checked
EGG-0077,CL-02-010,PAIR-02-04,Cacatua moluccensis,Moluccan Cockatoo,2024-08-21,hot-humid,artificial,35.2,fertile,none,hatched,2024-09-16,none,CHK-02-0077,died,ok,register,double_checked
EGG-0078,CL-02-010,PAIR-02-04,Cacatua moluccensis,Moluccan Cockatoo,2024-08-23,hot-humid,parental,32.7,fertile,none,hatched,2024-09-16,none,CHK-02-0078,died,ok,incubator_log,single_checked
EGG-0079,CL-02-010,PAIR-02-04,Cacatua moluccensis,Moluccan Cockatoo,2024-08-28,hot-humid,artificial,33.6,fertile,none,hatched,2024-09-25,none,CHK-02-0079,alive,ok,spreadsheet,double_checked
EGG-0080,CL-02-010,PAIR-02-04,Cacatua moluccensis,Moluccan Cockatoo,2024-08-30,hot-humid,parental,31.8,fertile,none,hatched,2024-09-26,none,CHK-02-0080,alive,ok,spreadsheet,single_checked
EGG-0081,CL-03-001,PAIR-03-01,Probosciger aterrimus,Palm Cockatoo,2024-09-01,hot-humid,mixed,24.4,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,register,double_checked
EGG-0082,CL-03-001,PAIR-03-01,Probosciger aterrimus,Palm Cockatoo,2024-09-04,hot-humid,parental,25.5,fertile,none,hatched,2024-09-29,none,CHK-03-0082,alive,ok,incubator_log,double_checked
EGG-0083,CL-03-001,PAIR-03-01,Probosciger aterrimus,Palm Cockatoo,2024-09-07,hot-humid,mixed,23.3,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,double_checked
EGG-0084,CL-03-001,PAIR-03-01,Probosciger aterrimus,Palm Cockatoo,2024-09-12,hot-humid,artificial,27.2,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,register,double_checked
EGG-0085,CL-03-002,PAIR-03-01,Probosciger aterrimus,Palm Cockatoo,2024-09-15,hot-humid,parental,26.2,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
EGG-0086,CL-03-002,PAIR-03-01,Probosciger aterrimus,Palm Cockatoo,2024-09-18,hot-humid,artificial,24.6,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0087,CL-03-002,PAIR-03-01,Probosciger aterrimus,Palm Cockatoo,2024-09-19,hot-humid,parental,25.1,fertile,none,hatched,2024-10-17,none,CHK-03-0087,alive,ok,register,double_checked
EGG-0088,CL-03-002,PAIR-03-01,Probosciger aterrimus,Palm Cockatoo,2024-09-24,hot-humid,artificial,27.4,fertile,none,hatched,2024-10-18,none,CHK-03-0088,alive,ok,incubator_log,single_checked
EGG-0089,CL-03-003,PAIR-03-01,Probosciger aterrimus,Palm Cockatoo,2024-09-27,hot-humid,artificial,23.3,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
EGG-0090,CL-03-003,PAIR-03-01,Probosciger aterrimus,Palm Cockatoo,2024-09-29,hot-humid,mixed,23.2,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0091,CL-03-003,PAIR-03-02,Probosciger aterrimus,Palm Cockatoo,2024-10-01,transition,artificial,26.1,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,double_checked
EGG-0092,CL-03-003,PAIR-03-02,Probosciger aterrimus,Palm Cockatoo,2024-10-06,transition,artificial,27.5,fertile,none,hatched,2024-11-01,none,CHK-03-0092,alive,ok,spreadsheet,double_checked
EGG-0093,CL-03-004,PAIR-03-02,Probosciger aterrimus,Palm Cockatoo,2024-10-07,transition,artificial,24.6,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,single_checked
EGG-0094,CL-03-004,PAIR-03-02,Probosciger aterrimus,Palm Cockatoo,2024-10-12,transition,artificial,25.2,fertile,none,hatched,2024-11-09,none,CHK-03-0094,alive,ok,combined,single_checked
EGG-0095,CL-03-004,PAIR-03-02,Probosciger aterrimus,Palm Cockatoo,2024-10-13,transition,artificial,22.6,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,double_checked
EGG-0096,CL-03-004,PAIR-03-02,Probosciger aterrimus,Palm Cockatoo,2024-10-16,transition,parental,25.0,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0097,CL-03-005,PAIR-03-02,Probosciger aterrimus,Palm Cockatoo,2024-10-21,transition,parental,23.9,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,combined,single_checked
EGG-0098,CL-03-005,PAIR-03-02,Probosciger aterrimus,Palm Cockatoo,2024-10-23,transition,artificial,26.0,fertile,none,hatched,2024-11-18,none,CHK-03-0098,alive,ok,combined,single_checked
EGG-0099,CL-03-005,PAIR-03-02,Probosciger aterrimus,Palm Cockatoo,2024-10-26,transition,parental,24.4,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0100,CL-03-005,PAIR-03-02,Probosciger aterrimus,Palm Cockatoo,2024-10-30,transition,parental,27.4,fertile,none,hatched,2024-11-27,none,CHK-03-0100,alive,ok,incubator_log,double_checked
EGG-0101,CL-03-006,PAIR-03-03,Probosciger aterrimus,Palm Cockatoo,2024-11-02,cool-dry,artificial,24.6,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0102,CL-03-006,PAIR-03-03,Probosciger aterrimus,Palm Cockatoo,2024-11-04,cool-dry,parental,23.9,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
EGG-0103,CL-03-006,PAIR-03-03,Probosciger aterrimus,Palm Cockatoo,2024-11-08,cool-dry,artificial,21.8,fertile,none,hatched,2024-12-06,none,CHK-03-0103,alive,ok,incubator_log,double_checked
EGG-0104,CL-03-006,PAIR-03-03,Probosciger aterrimus,Palm Cockatoo,2024-11-11,cool-dry,parental,27.1,fertile,none,hatched,2024-12-05,none,CHK-03-0104,alive,ok,combined,single_checked
EGG-0105,CL-03-007,PAIR-03-03,Probosciger aterrimus,Palm Cockatoo,2024-11-14,cool-dry,parental,26.4,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,single_checked
EGG-0106,CL-03-007,PAIR-03-03,Probosciger aterrimus,Palm Cockatoo,2024-11-16,cool-dry,artificial,22.2,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0107,CL-03-007,PAIR-03-03,Probosciger aterrimus,Palm Cockatoo,2024-11-18,cool-dry,parental,26.8,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0108,CL-03-007,PAIR-03-03,Probosciger aterrimus,Palm Cockatoo,2024-11-22,cool-dry,artificial,24.4,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
EGG-0109,CL-03-008,PAIR-03-03,Probosciger aterrimus,Palm Cockatoo,2024-11-25,cool-dry,parental,22.9,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,combined,single_checked
EGG-0110,CL-03-008,PAIR-03-03,Probosciger aterrimus,Palm Cockatoo,2024-11-29,cool-dry,artificial,22.9,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0111,CL-03-008,PAIR-03-04,Probosciger aterrimus,Palm Cockatoo,2024-12-02,cool-dry,artificial,27.0,fertile,none,hatched,2025-01-01,none,CHK-03-0111,alive,ok,combined,single_checked
EGG-0112,CL-03-008,PAIR-03-04,Probosciger aterrimus,Palm Cockatoo,2024-12-03,cool-dry,artificial,26.3,fertile,none,hatched,2025-01-01,none,CHK-03-0112,alive,ok,incubator_log,single_checked
EGG-0113,CL-03-009,PAIR-03-04,Probosciger aterrimus,Palm Cockatoo,2024-12-07,cool-dry,artificial,24.8,fertile,none,hatched,2025-01-05,none,CHK-03-0113,alive,ok,register,single_checked
EGG-0114,CL-03-009,PAIR-03-04,Probosciger aterrimus,Palm Cockatoo,2024-12-11,cool-dry,parental,27.4,fertile,none,hatched,2025-01-05,none,CHK-03-0114,alive,ok,combined,single_checked
EGG-0115,CL-03-009,PAIR-03-04,Probosciger aterrimus,Palm Cockatoo,2024-12-12,cool-dry,parental,25.7,fertile,none,hatched,2025-01-06,none,CHK-03-0115,alive,ok,register,double_checked
EGG-0116,CL-03-009,PAIR-03-04,Probosciger aterrimus,Palm Cockatoo,2024-12-16,cool-dry,parental,23.5,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,single_checked
EGG-0117,CL-03-010,PAIR-03-04,Probosciger aterrimus,Palm Cockatoo,2024-12-19,cool-dry,artificial,26.5,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
EGG-0118,CL-03-010,PAIR-03-04,Probosciger aterrimus,Palm Cockatoo,2024-12-22,cool-dry,mixed,25.7,fertile,none,hatched,2025-01-17,none,CHK-03-0118,alive,ok,combined,single_checked
EGG-0119,CL-03-010,PAIR-03-04,Probosciger aterrimus,Palm Cockatoo,2024-12-26,cool-dry,mixed,26.4,fertile,none,hatched,2025-01-19,none,CHK-03-0119,alive,ok,incubator_log,double_checked
EGG-0120,CL-03-010,PAIR-03-04,Probosciger aterrimus,Palm Cockatoo,2024-12-28,cool-dry,artificial,23.6,fertile,unknown,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
EGG-0121,CL-04-001,PAIR-04-01,Eclectus roratus,Eclectus Parrot,2024-12-30,cool-dry,artificial,20.9,fertile,none,hatched,2025-01-26,none,CHK-04-0121,alive,ok,register,single_checked
EGG-0122,CL-04-001,PAIR-04-01,Eclectus roratus,Eclectus Parrot,2025-01-02,cool-dry,artificial,17.0,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0123,CL-04-001,PAIR-04-01,Eclectus roratus,Eclectus Parrot,2025-01-05,cool-dry,artificial,19.1,fertile,none,hatched,2025-02-03,full,CHK-04-0123,alive,ok,incubator_log,single_checked
EGG-0124,CL-04-001,PAIR-04-01,Eclectus roratus,Eclectus Parrot,2025-01-09,cool-dry,artificial,15.8,fertile,middle,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0125,CL-04-002,PAIR-04-01,Eclectus roratus,Eclectus Parrot,2025-01-12,cool-dry,artificial,18.5,fertile,none,hatched,2025-02-10,none,CHK-04-0125,alive,ok,combined,single_checked
EGG-0126,CL-04-002,PAIR-04-01,Eclectus roratus,Eclectus Parrot,2025-01-14,cool-dry,artificial,18.4,fertile,none,hatched,2025-02-07,none,CHK-04-0126,alive,ok,combined,single_checked
EGG-0127,CL-04-002,PAIR-04-01,Eclectus roratus,Eclectus Parrot,2025-01-18,cool-dry,parental,18.9,fertile,none,hatched,2025-02-16,none,CHK-04-0127,alive,ok,spreadsheet,single_checked
EGG-0128,CL-04-002,PAIR-04-01,Eclectus roratus,Eclectus Parrot,2025-01-21,cool-dry,mixed,17.1,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
EGG-0129,CL-04-003,PAIR-04-01,Eclectus roratus,Eclectus Parrot,2025-01-25,cool-dry,parental,17.1,fertile,none,hatched,2025-02-21,none,CHK-04-0129,alive,ok,spreadsheet,double_checked
EGG-0130,CL-04-003,PAIR-04-01,Eclectus roratus,Eclectus Parrot,2025-01-26,cool-dry,artificial,18.3,fertile,none,hatched,2025-02-22,none,CHK-04-0130,alive,ok,spreadsheet,single_checked
